maker,model,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Hyundai,Hyundai Veloster,30711,27598,24245,30053,12658,10871.0,12849.0,7591.0,2112.0,1920
Hyundai,Hyundai Azera,11221,7232,5539,4942,3060,628.0,0.0,0.0,0.0,0
Hyundai,Hyundai Sonata,203648,216936,213303,199416,131803,105118.0,87466.0,76997.0,93142.0,55131
Hyundai,Hyundai Hyundai Genesis,32330,29992,31374,23230,1152,1.0,0.0,0.0,0.0,0
Hyundai,Hyundai Equus,3578,3415,2332,1361,20,0.0,0.0,0.0,0.0,0
Hyundai,Hyundai Santa Cruz,0,0,0,0,0,0.0,0.0,0.0,10042.0,36480
Hyundai,Hyundai Kona,0,0,0,0,0,47090.0,73326.0,76253.0,90069.0,63994
Hyundai,Hyundai Nexo,0,0,0,0,0,8.0,267.0,208.0,430.0,408
Hyundai,Hyundai Tucson (ix35),41906,47306,63591,89713,114735,142299.0,137381.0,123657.0,150949.0,175307
Hyundai,Hyundai Venue,0,0,0,0,0,0.0,1077.0,19125.0,28653.0,27094
Hyundai,Hyundai IONIQ 5,0,0,0,0,0,0.0,0.0,0.0,153.0,22982
Hyundai,Hyundai Palisade,0,0,0,0,0,0.0,28736.0,81905.0,86539.0,82688
Hyundai,Hyundai Santa Fe,88844,107906,118134,131257,133171,117038.0,127373.0,101513.0,112071.0,119589
Hyundai,Hyundai Veracruz (ix55),175,1,0,0,0,0.0,0.0,0.0,0.0,0
Infiniti,Infiniti G,30256,0,0,0,0,0.0,0.0,0.0,0.0,0
Infiniti,Infiniti Q40,0,15590,8605,59,0,0.0,0.0,0.0,0.0,0
Infiniti,Infiniti Q50,17816,36899,43874,44007,40739,34763.0,25987.0,16533.0,13896.0,4781
Infiniti,Infiniti Q60 (G Coupe),9806,7740,3949,3970,10751,9017.0,5043.0,2792.0,2728.0,1847
Infiniti,Infiniti M,5283,0,0,0,0,0.0,0.0,0.0,0.0,0
Infiniti,Infiniti Q70 (M),0,5034,8449,5872,5772,4479.0,2552.0,139.0,0.0,1
Infiniti,Infiniti QX30,0,0,0,2259,14093,8101.0,3229.0,148.0,1.0,0
Infiniti,Infiniti QX50 (EX),2164,2727,5468,16973,16857,25389.0,18616.0,20885.0,19195.0,11105
Infiniti,Infiniti QX55,0,0,0,0,0,0.0,0.0,0.0,4332.0,5106
Infiniti,Infiniti QX60 (JX),31602,31192,41770,42120,40444,47370.0,43162.0,22880.0,5829.0,16573
Infiniti,Infiniti QX70 (FX),6380,5213,5737,6261,6878,954.0,6.0,0.0,0.0,0
Infiniti,Infiniti QX80 (QX56),13148,12935,15646,16772,17881,19207.0,19113.0,16125.0,12572.0,7206
Jaguar,Jaguar XE,0,0,0,6656,9278,4704.0,3551.0,1516.0,105.0,0
Jaguar,Jaguar F0Type,2250,4112,4629,4069,4108,2268.0,2279.0,1595.0,1753.0,1290
Jaguar,Jaguar XF,7922,5880,5933,6665,4541,2308.0,1187.0,606.0,898.0,827
Jaguar,Jaguar XJ Series,5434,4329,3611,3834,2721,1579.0,1167.0,908.0,15.0,0
Jaguar,Jaguar E0Pace,0,0,0,0,0,4479.0,4782.0,3412.0,2363.0,726
Jaguar,Jaguar F0Pace,0,0,0,10016,18946,14752.0,15491.0,8281.0,7664.0,6632
Jaguar,Jaguar I0Pace,0,0,0,0,0,393.0,2594.0,1658.0,1020.0,306
Jeep,Jeep Jeep Gladiator,0,0,0,0,0,0.0,40037.0,77542.0,89712.0,77855
Jeep,Jeep Renegade,0,0,60946,106606,103434,97062.0,76885.0,62847.0,47138.0,27551
Jeep,Jeep Cherokee,25786,178508,220260,199736,169882,239437.0,191397.0,135855.0,89126.0,40322
Jeep,Jeep Cherokee Liberty,6101,0,0,0,0,0.0,0.0,0.0,0.0,0
Jeep,Jeep Compass,52993,61264,66698,94061,83253,171167.0,143934.0,107969.0,75642.0,86175
Jeep,Jeep Patriot,75797,93462,118464,121926,40735,621.0,27.0,3.0,0.0,0
Jeep,Jeep Wrangler,155502,175328,202702,191774,190522,240032.0,228042.0,201311.0,0.0,0
Jeep,Jeep Grand Cherokee,174275,183786,195958,212273,240696,224908.0,242969.0,209786.0,254445.0,223344
Kia,Kia Rio,40742,35933,23742,28700,16760,22975.0,24961.0,23927.0,31362.0,26996
Kia,Kia Forte,66146,69336,78919,103292,117596,101890.0,95609.0,84997.0,115929.0,108424
Kia,Kia Soul,118079,145316,147133,145768,115712,104709.0,98033.0,71862.0,75126.0,57820
Kia,Kia K5,0,0,0,0,0,0.0,0.0,31656.0,92224.0,66297
Kia,Kia Optima,155893,159020,159414,124203,107493,101603.0,96623.0,48484.0,118.0,1
Kia,Kia Stinger,0,0,0,0,843,16806.0,13861.0,12556.0,13517.0,7809
Kia,Kia Cadenza,8626,9267,7343,4738,7249,4507.0,1630.0,1265.0,249.0,1
Kia,Kia K9 (K900/Quoris),0,1330,2524,834,455,354.0,390.0,305.0,85.0,0
Kia,Kia Sedona (Carnival),7079,14567,36755,44264,23815,17928.0,15931.0,13190.0,25155.0,19706
Kia,Kia NIRO,0,0,0,0,27237,28232.0,24467.0,17434.0,26192.0,28744
Kia,Kia SELTOS,0,0,0,0,0,0.0,0.0,46280.0,51368.0,45711
Kia,Kia Sportage,32965,42945,53739,81066,72824,82823.0,89278.0,84343.0,94601.0,125245
Kia,Kia EV6,0,0,0,0,0,0.0,0.0,0.0,0.0,20498
Kia,Kia Sorento (KX7),105649,102520,116249,114733,99684,107846.0,95951.0,74677.0,81785.0,86406
Kia,Kia Telluride,0,0,0,0,0,0.0,58604.0,75129.0,93705.0,99891
Lamborghini,Lamborghini Unclassified,0,0,1009,1041,1095,1595.0,2716.0,2263.0,2412.0,2567
